Img,algorithm,best_eval_all,best_indiv_all,gap
863706,cGA(,0.3926733268621717,"[1.280693795544678, 0.7606774982322563, 1.0793838036163552, 0.9524351830826727]",00:00:53
238071,cGA(,0.4507406709872157,"[1.9576435731342559, 0.7720505514228654, 0.9695924559776563, 0.7063909375332478]",00:00:54
849899,cGA(,0.3897037428526573,"[1.3050996685418834, 0.7263585655201504, 1.5959461508963946, 2.5368915066795834]",00:00:49
562878,cGA(,0.3990423489186241,"[2.441994082946459, 0.7034733973943929, 0.9519293445951731, 1.5453867256338731]",00:01:13
262693,cGA(,0.4240428545557734,"[2.658271207001174, 0.7720505514228654, 2.717125499222245, 2.45896194382904]",00:01:07
157727,cGA(,0.40970279953780275,"[1.4228802443887272, 0.9937899984780005, 2.8543556573644144, 0.8720256408081546]",00:00:50
141845,cGA(,0.4578528084736717,"[2.7193286822291522, 0.757753922535626, 1.2669085072395236, 2.3128599067553126]",00:00:44
240288,cGA(,0.4632044273143038,"[1.5959461508963946, 0.788669230475974, 2.948602642413042, 1.116909185666409]",00:00:54
864424,cGA(,0.42340821240957216,"[1.1689149245570591, 0.9775343528264717, 1.7612528940382508, 0.8022729117583459]",00:00:55
